,team,wins,goles_casa,goles_visita,total_pass,corner_taken,touches,season
99,Wolverhampton Wanderers,11,30.0,16.0,14823,241,22772,2010-2011
100,Arsenal,21,39.0,35.0,20599,262,28338,2011-2012
101,Aston Villa,7,20.0,17.0,13158,218,21017,2011-2012
102,Blackburn Rovers,8,26.0,22.0,12424,166,20036,2011-2012
103,Bolton Wanderers,10,23.0,23.0,13580,210,21694,2011-2012
104,Chelsea,18,41.0,24.0,18766,253,26276,2011-2012
105,Everton,15,28.0,22.0,15063,180,22706,2011-2012
106,Fulham,14,36.0,12.0,17669,187,24891,2011-2012
107,Liverpool,14,24.0,23.0,18797,309,26450,2011-2012
108,Manchester City,28,55.0,38.0,20863,269,28620,2011-2012
109,Manchester United,28,52.0,37.0,20184,279,28113,2011-2012
110,Newcastle United,19,29.0,27.0,14638,171,22210,2011-2012
111,Norwich City,12,28.0,24.0,15165,165,22830,2011-2012
112,Queens Park Rangers,10,24.0,19.0,13383,195,21309,2011-2012
113,Stoke City,11,25.0,11.0,10831,166,18936,2011-2012
114,Sunderland,11,26.0,19.0,13913,181,21770,2011-2012
115,Swansea City,12,27.0,17.0,20795,201,28300,2011-2012
116,Tottenham Hotspur,20,39.0,27.0,19564,279,27761,2011-2012
117,West Bromwich Albion,13,21.0,24.0,14691,212,22205,2011-2012
118,Wigan Athletic,11,22.0,20.0,15715,212,22943,2011-2012
119,Wolverhampton Wanderers,5,19.0,21.0,14860,205,22585,2011-2012
120,Arsenal,21,47.0,25.0,21110,260,28862,2012-2013
121,Aston Villa,10,23.0,24.0,14247,177,22314,2012-2013
122,Chelsea,22,41.0,34.0,18425,240,25959,2012-2013
123,Everton,16,33.0,22.0,15829,257,23854,2012-2013
124,Fulham,11,28.0,22.0,16940,176,24744,2012-2013
125,Liverpool,16,33.0,38.0,19802,284,27722,2012-2013
126,Manchester City,23,41.0,25.0,20061,269,27525,2012-2013
127,Manchester United,28,45.0,41.0,19696,218,27264,2012-2013
128,Newcastle United,11,24.0,21.0,14599,203,23005,2012-2013
129,Norwich City,10,25.0,16.0,13403,172,20675,2012-2013
130,Queens Park Rangers,4,13.0,17.0,13632,170,21941,2012-2013
131,Reading,6,23.0,20.0,11806,189,19613,2012-2013
132,Southampton,9,26.0,23.0,16810,209,25365,2012-2013
133,Stoke City,9,21.0,13.0,12287,165,19830,2012-2013
134,Sunderland,9,20.0,21.0,13109,179,20782,2012-2013
135,Swansea City,11,28.0,19.0,19943,193,27641,2012-2013
136,Tottenham Hotspur,21,29.0,37.0,16647,262,25155,2012-2013
137,West Bromwich Albion,14,32.0,21.0,14367,202,21491,2012-2013
138,West Ham United,12,34.0,11.0,12582,212,20669,2012-2013
139,Wigan Athletic,9,26.0,21.0,17927,198,25173,2012-2013
140,Arsenal,24,36.0,32.0,21561,210,29825,2013-2014
141,Aston Villa,10,22.0,17.0,13856,163,21453,2013-2014
142,Cardiff City,7,20.0,12.0,14007,196,22018,2013-2014
143,Chelsea,25,43.0,28.0,18266,248,26541,2013-2014
144,Crystal Palace,13,18.0,15.0,11792,172,20309,2013-2014
145,Everton,21,38.0,23.0,18301,251,26857,2013-2014
146,Fulham,9,24.0,16.0,14674,194,22771,2013-2014
147,Hull City,10,20.0,18.0,15267,160,22985,2013-2014
148,Liverpool,26,53.0,48.0,19599,224,28172,2013-2014
149,Manchester City,27,63.0,39.0,20761,283,28341,2013-2014
150,Manchester United,19,29.0,35.0,18894,216,27367,2013-2014
151,Newcastle United,15,23.0,20.0,16087,190,24484,2013-2014
152,Norwich City,8,17.0,11.0,14747,197,22570,2013-2014
153,Southampton,15,32.0,22.0,19577,210,28030,2013-2014
154,Stoke City,13,27.0,18.0,15324,164,23324,2013-2014
155,Sunderland,10,21.0,20.0,14457,188,21922,2013-2014
156,Swansea City,11,33.0,21.0,21113,226,29158,2013-2014
157,Tottenham Hotspur,21,30.0,25.0,17933,230,26241,2013-2014
158,West Bromwich Albion,7,24.0,19.0,14704,187,22866,2013-2014
159,West Ham United,11,25.0,15.0,12364,185,20511,2013-2014
160,Arsenal,22,41.0,30.0,20527,254,29045,2014-2015
161,Aston Villa,10,18.0,13.0,16527,171,23785,2014-2015
162,Burnley,7,14.0,14.0,13632,171,21624,2014-2015
163,Chelsea,26,36.0,37.0,20268,226,27861,2014-2015
164,Crystal Palace,13,21.0,26.0,12071,209,20386,2014-2015
165,Everton,12,27.0,21.0,18809,194,26729,2014-2015
166,Hull City,8,19.0,14.0,14864,169,22464,2014-2015
167,Leicester City,11,28.0,18.0,13343,211,21547,2014-2015
168,Liverpool,18,30.0,22.0,19374,198,27353,2014-2015
169,Manchester City,24,44.0,39.0,22107,277,29652,2014-2015
170,Manchester United,20,41.0,21.0,21311,214,29044,2014-2015
171,Newcastle United,10,26.0,14.0,15019,222,23375,2014-2015
172,Queens Park Rangers,8,23.0,19.0,13659,179,21907,2014-2015
173,Southampton,18,37.0,17.0,18184,208,25815,2014-2015
174,Stoke City,15,32.0,16.0,15386,195,23427,2014-2015
175,Sunderland,7,16.0,15.0,14451,186,22037,2014-2015
176,Swansea City,16,27.0,19.0,17877,151,25645,2014-2015
177,Tottenham Hotspur,19,31.0,27.0,19322,224,27495,2014-2015
178,West Bromwich Albion,11,24.0,14.0,14445,171,21820,2014-2015
179,West Ham United,12,25.0,19.0,13568,241,21793,2014-2015
180,AFC Bournemouth,11,23.0,22.0,17270,221,25291,2015-2016
181,Arsenal,20,31.0,34.0,21249,227,29337,2015-2016
182,Aston Villa,3,14.0,13.0,15308,167,23234,2015-2016
183,Chelsea,12,32.0,27.0,19664,240,27362,2015-2016
184,Crystal Palace,11,19.0,20.0,13785,219,21861,2015-2016
185,Everton,11,35.0,24.0,17947,218,25741,2015-2016
186,Leicester City,23,35.0,33.0,13370,197,21710,2015-2016
187,Liverpool,16,33.0,30.0,19733,265,27890,2015-2016
188,Manchester City,19,47.0,24.0,20488,257,28396,2015-2016
189,Manchester United,19,27.0,22.0,20070,228,27542,2015-2016
190,Newcastle United,9,32.0,12.0,15118,161,22993,2015-2016
191,Norwich City,9,26.0,13.0,14483,188,21936,2015-2016
192,Southampton,18,39.0,20.0,15913,220,23716,2015-2016
193,Stoke City,14,22.0,19.0,16342,153,23663,2015-2016
194,Sunderland,9,23.0,25.0,12799,153,20339,2015-2016
195,Swansea City,12,20.0,22.0,18169,163,25989,2015-2016
196,Tottenham Hotspur,19,35.0,34.0,18649,254,27014,2015-2016
197,Watford,12,20.0,20.0,14530,164,22363,2015-2016
198,West Bromwich Albion,10,20.0,14.0,12262,188,19822,2015-2016
199,West Ham United,16,34.0,31.0,15031,224,23104,2015-2016
200,AFC Bournemouth,12,35.0,20.0,17152,193,24801,2016-2017
201,Arsenal,23,39.0,38.0,21394,227,28931,2016-2017
202,Burnley,11,26.0,13.0,12558,149,19776,2016-2017
203,Chelsea,30,55.0,30.0,20125,218,27658,2016-2017
204,Crystal Palace,12,24.0,26.0,13542,203,21533,2016-2017
205,Everton,17,42.0,20.0,17586,196,25309,2016-2017
206,Hull City,9,28.0,9.0,15596,179,22779,2016-2017
207,Leicester City,12,31.0,17.0,13671,197,21051,2016-2017
208,Liverpool,22,45.0,33.0,22290,249,30071,2016-2017
209,Manchester City,23,37.0,43.0,22706,280,30363,2016-2017
210,Manchester United,18,26.0,28.0,20245,217,28119,2016-2017
211,Middlesbrough,5,17.0,10.0,15736,141,23067,2016-2017
212,Southampton,12,17.0,24.0,18245,198,25881,2016-2017
213,Stoke City,11,24.0,17.0,14558,188,22087,2016-2017
214,Sunderland,6,16.0,13.0,12359,159,19639,2016-2017
215,Swansea City,12,27.0,18.0,16131,196,23728,2016-2017
216,Tottenham Hotspur,26,47.0,39.0,20150,273,28150,2016-2017
217,Watford,11,25.0,15.0,14049,164,21547,2016-2017
218,West Bromwich Albion,12,27.0,16.0,11825,159,19042,2016-2017
219,West Ham United,12,19.0,28.0,15127,172,22666,2016-2017
220,AFC Bournemouth,11,26.0,19.0,16131,218,23634,2017-2018
221,Arsenal,19,54.0,20.0,23524,225,30635,2017-2018
222,Brighton and Hove Albion,9,24.0,10.0,14675,163,21668,2017-2018
223,Burnley,14,16.0,20.0,13572,167,20732,2017-2018
224,Chelsea,21,30.0,32.0,21264,230,28728,2017-2018
225,Crystal Palace,11,29.0,16.0,14372,210,22434,2017-2018
226,Everton,13,28.0,16.0,14749,150,22298,2017-2018
227,Huddersfield Town,9,16.0,12.0,14960,165,22619,2017-2018
228,Leicester City,12,25.0,31.0,15200,203,22770,2017-2018
229,Liverpool,21,45.0,39.0,22962,230,30324,2017-2018
230,Manchester City,32,61.0,45.0,28241,284,35130,2017-2018
231,Manchester United,25,38.0,30.0,20064,220,27525,2017-2018
232,Newcastle United,12,21.0,18.0,14028,167,21506,2017-2018
233,Southampton,7,20.0,17.0,17174,227,24639,2017-2018
234,Stoke City,7,20.0,15.0,12892,136,20368,2017-2018
235,Swansea City,8,17.0,11.0,15721,150,22775,2017-2018
236,Tottenham Hotspur,23,40.0,34.0,21660,246,29412,2017-2018
237,Watford,11,27.0,17.0,15654,183,23127,2017-2018
238,West Bromwich Albion,6,21.0,10.0,13218,176,20552,2017-2018
239,West Ham United,10,24.0,24.0,14369,161,21928,2017-2018
